iter	Passed	Remaining
0	10	13690
1	20	13308
2	30	13122
3	40	13029
4	53	13789
5	63	13595
6	73	13579
7	92	15008
8	109	15667
9	118	15314
10	132	15549
11	150	16120
12	161	15987
13	171	15755
14	181	15554
15	195	15711
16	204	15445
17	223	15925
18	236	15949
19	249	15940
20	257	15699
21	267	15562
22	277	15414
23	293	15584
24	305	15573
25	321	15732
26	337	15892
27	347	15771
28	362	15902
29	382	16192
30	391	16030
31	408	16185
32	426	16365
33	435	16216
34	448	16196
35	464	16298
36	474	16205
37	484	16096
38	497	16091
39	507	15993
40	523	16060
41	532	15956
42	544	15905
43	563	16075
44	574	16027
45	584	15942
46	595	15887
47	612	15964
48	629	16059
49	643	16086
50	658	16126
51	673	16174
52	682	16064
53	698	16119
54	708	16049
55	725	16113
56	748	16333
57	758	16248
58	776	16337
59	786	16247
60	798	16221
61	814	16264
62	829	16285
63	839	16220
64	857	16297
65	868	16234
66	887	16327
67	901	16333
68	922	16456
69	932	16386
70	948	16418
71	962	16420
72	973	16357
73	988	16369
74	1001	16364
75	1013	16326
76	1026	16306
77	1037	16253
78	1046	16180
79	1059	16150
80	1072	16137
81	1082	16077
82	1104	16194
83	1113	16119
84	1130	16162
85	1140	16104
86	1150	16042
87	1160	15983
88	1173	15968
89	1186	15948
90	1197	15914
91	1215	15953
92	1223	15881
93	1233	15819
94	1251	15877
95	1264	15861
96	1284	15933
97	1302	15973
98	1318	15989
99	1329	15957
100	1342	15941
101	1369	16085
102	1380	16045
103	1390	15988
104	1400	15940
105	1410	15893
106	1429	15939
107	1440	15893
108	1459	15950
109	1471	15913
110	1480	15859
111	1493	15841
112	1509	15859
113	1527	15887
114	1544	15917
115	1556	15882
116	1566	15843
117	1576	15796
118	1592	15801
119	1604	15775
120	1615	15736
121	1635	15791
122	1644	15738
123	1657	15723
124	1679	15787
125	1690	15749
126	1700	15701
127	1710	15659
128	1722	15632
129	1739	15655
130	1754	15660
131	1771	15679
132	1783	15646
133	1809	15743
134	1828	15779
135	1841	15764
136	1855	15750
137	1871	15755
138	1888	15769
139	1903	15772
140	1920	15783
141	1938	15805
142	1955	15822
143	1966	15788
144	1980	15778
145	1993	15760
146	2003	15717
147	2019	15723
148	2032	15703
149	2045	15684
150	2061	15683
151	2077	15687
152	2087	15648
153	2098	15617
154	2111	15600
155	2130	15622
156	2140	15583
157	2150	15544
158	2168	15560
159	2180	15535
160	2205	15604
161	2218	15585
162	2228	15542
163	2237	15502
164	2250	15478
165	2269	15501
166	2280	15468
167	2293	15453
168	2325	15564
169	2342	15573
170	2358	15573
171	2374	15571
172	2387	15551
173	2398	15518
174	2419	15553
175	2436	15561
176	2455	15579
177	2469	15565
178	2489	15590
179	2509	15617
180	2522	15592
181	2541	15614
182	2561	15632
183	2572	15604
184	2584	15578
185	2601	15581
